 
log File 
 
User :zhaomo 
2020/08/22 
14:26
 
Process Ran by zhaomo 
 

映像名称                       PID 会话名              会话#       内存使用 
svchost.exe                   4532 Console                    4     22,528 K
svchost.exe                  27424 Console                    4      1,584 K
svchost.exe                  22200 Console                    4     26,548 K
taskhostw.exe                14628 Console                    4     10,428 K
igfxEM.exe                   10300 Console                    4     16,464 K
explorer.exe                 18904 Console                    4    227,744 K
ctfmon.exe                   20088 Console                    4     42,740 K
svchost.exe                  17768 Console                    4     16,252 K
ChsIME.exe                   24208 Console                    4     67,032 K
TSVNCache.exe                15832 Console                    4      5,268 K
StartMenuExperienceHost.e     6164 Console                    4     57,180 K
RuntimeBroker.exe            24744 Console                    4     16,828 K
SearchUI.exe                  9260 Console                    4    192,300 K
RuntimeBroker.exe            14176 Console                    4     55,932 K
SpeechRuntime.exe            14588 Console                    4      9,224 K
RemindersServer.exe           9176 Console                    4      6,632 K
svchost.exe                  20828 Console                    4     15,264 K
RuntimeBroker.exe            25868 Console                    4     11,324 K
LockApp.exe                  23872 Console                    4     42,196 K
wlanext.exe                  11192 Services                   0      1,928 K
conhost.exe                  14132 Services                   0      1,472 K
RuntimeBroker.exe            22516 Console                    4     21,692 K
RadeonSettings.exe           22156 Console                    4      2,548 K
CastSrv.exe                  26400 Console                    4     10,572 K
RtkNGUI64.exe                25604 Console                    4      5,232 K
RAVBg64.exe                  23880 Console                    4      5,240 K
WavesSvc64.exe               15536 Console                    4      7,064 K
Everything.exe                7724 Console                    4      3,372 K
OneDrive.exe                  5600 Console                    4     54,212 K
SGTool.exe                    7676 Console                    4      2,616 K
Wox.exe                      16240 Console                    4     81,412 K
TrafficMonitor.exe           16816 Console                    4     26,768 K
EvernoteClipper.exe           3348 Console                    4      2,640 K
ShellExperienceHost.exe       6964 Console                    4    145,372 K
RuntimeBroker.exe            21608 Console                    4     23,532 K
ApplicationFrameHost.exe     23024 Console                    4     38,516 K
YourPhoneServer.exe          25820 Console                    4      5,628 K
SecurityHealthHost.exe       16772 Console                    4      2,592 K
SogouCloud.exe               21880 Console                    4     62,248 K
SettingSyncHost.exe          23820 Console                    4      2,868 K
SystemSettingsBroker.exe     26460 Console                    4     15,744 K
SogouImeBroker.exe            2140 Console                    4      7,692 K
dllhost.exe                   8532 Console                    4      7,060 K
svchost.exe                  20396 Console                    4      3,368 K
svchost.exe                  14584 Console                    4      2,072 K
acrotray.exe                 16460 Console                    4      2,412 K
rundll32.exe                 20704 Console                    4      1,864 K
TGitCache.exe                22768 Console                    4      4,076 K
